ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
1993,ชิงชี่/ กินขี้/ แสมซอ/ พญาจอมปลวก/ จิงโจ้/ กระดาษขาว/ ค้อนกลอง/ พุงแก/ ซิซอ/ นํ้านอง,ชิงชี่/ แสมซอ/ เม็งซอ/ พวงมะละกอ,หนวดแมวแดง/ แซ่ม้าทะลาย,จอมปลวก/ หมากคนคก/ ไม้ส้มชื่น,น.,ชื่อพรรณไม้พุ่มขนาดย่อมชนิดหนึ่ง ใบเดี่ยว สีเขียวแข็ง โคนและปลายใบมน ออกดอกเดี่ยวสีขาว กลีบตรงกลางปลายแยกออกเป็นสองแฉก มีสีเหลืองหรึอแดง ผลกลม เมื่อสุกสีแดง เนื้อมีรสหวานรับประทานได้ ใบ ดอก ลูก ด้น และรากใช้เป็นยา
1994,,ชิงเปรต,,,ก.,แย่งชิงอาหารที่ตั้งไว้ หลังจากวางอาหารบนหลาเปรต และนำลายสิญจน์ที่พระลงฆ์จับเพื่อสวดบังสุกุลเพื่อแผ่ส่วนกุศลแก่ผู้ที่ล่วงลับไปแล้ว เชื่อว่าได้กินอาหารที่เหลือจากการเซ่นไหว้จะเป็นสิริมงคลแก่ตนและครอบครัว เป็นพิธีกรรมหนึ่งในประเพณีเดือนสิบของภาคใต้
1995,ชิ้นเนื้อ/ เนื้อ,ชิ้น/ เนื้อ,ชิ้น/ จิ๊น,ชิ้น/ ชิ้น,น.,เนื้อหรึอเนื้อสัตว์ต่างๆ ที่นำมาประกอบอาหารได้
1996,,ชิ้นเนื้อหมกเท่า,ชิ้นหมก/ จิ้นหมก,บกขี้เถ้า,น.,ชื่ออาหารท้องถิ่นภาคเหนือชนิดหนึ่ง ทำจากเนื้อควาย นำไปหมกในขี้เถ้าร้อนๆ
1997,,,ชิ้นลาบ/ จิ้นลาบ,ก้อย/ ก้อยดิบ/ ก้อบชิ้น/ ก้อยชิ้น/ ชิ้น/ ลาบก้อย,น.,ส่วนประกอบที่สำคัญของเนื้อสัตว์สำหรับทำลาบ ได้แก่ เนื้อแดง เครื่องใน เลือด
1998,,,ชิ้นส้มค่าง,ส้มค่าง,น.,แหนมที่ทำจากเนื้อค่าง
1999,,,ชิ้นหมก/ จิ๊นหมก/ ห่อหมก,เนื้อหมก/ ชิ้นหมก/ ชิ้นหมกเถ้/ จี่ซิ้น,น.,เนื้อแห้งที่นำมาหมกในถ่านไฟให้ลุก
2000,,,ชิ้นอบ/ จิ้นอบ,,น.,ชื่ออาหารท้องถิ่นภาคเหนือชนิดหนึ่ง ใช้เนื้อควายปรุงกับเครื่องแกง มีนํ้าขลุกขลิก
2001,,ชี่/ เช่/ นํ้าย้อม,,,น.,ยาทาแก้ปวดฟันและย้อมฟันให้ดำ ทำจากกะลามะพร้าวนำมาเผาในภาชนะชนิดหนึ่งแล้วนำนํ้าที่ไหลออกมาผสมกับถ่านกะลา
2002,ชีเปลือย,ชีเปลือย/ แก้เปลือย,ผีเปย/ ผีโป๋ย/ ผีป๋วย/ ผีปวย/ แม่ผีปวย,ชีเปลือย/ ผีเปีอย,น.,1. คนที่เปลือยกายหรือนุ่งน้อยห่มน้อย 2. เด็กที่ไม่นุ่งผ้า หรือผู้หญิงที่สวมชุดว่ายนํ้าประกวด
2003,ชีพราหมณ์,ชีพราหมณ์,ชีพราหมณ์/ แม่ผ้าขาว/ ชีปะขาว/ ชี/ ผู้ทรงศีล/ แม่ครัว/ คนครัว,ชีพราหมณ์/ ชีผ้าขาว/ แม่ขาว,น.,ฆราวาสซึ่งเป็นหญิงนุ่งขาวห่มขาว แต่ไม่โกนผม อาศัยในวัด ต้องการอยู่อย่างสงบ มักปฏิบัติธรรม และทำหน้าที่จัดสำรับอาหารแก่ภิกษุสงฆ์
2004,ชีพราหมณ์,ชีพราหมณ์,ผ้าขาว/ ปู่จารย์/ แก่วัด/ ล่ามวัด/ ชีปะขาว,ตาผ้าขาว/ ตาปะขาว/ ศิษย์วัด,น.,ฆราวาสนุ่งขาวห่มขาวที่อยู่ในวัด ส่วนมากเป็นชายสูงอายุที่เคยบวชมาแล้วต้องการอยู่ในวัดอย่างสงบ มีหน้าที่สอนหนังสือและเทศน์แก่สามเณรและเด็กวัด
2005,ชุมนุมสงฆ์,,ชุมนุมสงฆ์,ชุมนุมสงฆ์,น.,กลุ่มของพระสงฆ์ที่พิจารณาผู้ที่ต้องการบวชว่ามีความเหมาะสมหรือไม่
2006,,ชุมพุก,,,น.,หุ่นคนที่ทำขึ้นจากซังข้าว ใช้ในพิธีลาซังมีหุ่นผู้ชายและหุ่นผู้หญิง เพื่อนำมาทำพิธีแต่งงานและทำขวัญให้ หลังเสร็จพิธีแต่งงาน ก็อาบนํ้าทาแป้งประพรมนํ้าหอม แล้วหามไปที่ริมป่าใกล้นา ตัดเชือกที่มัดเป็นตัวให้ขาดแล้วโยนซังข้าวขึ้นสู่ท้องฟ้า
